Date,TotalSales,Time,Year,Month,Hour,Day
2,0.0,02-10-2014 00:0002-10-2014 01:0002-10-2014 02:0002-10-2014 03:0002-10-2014 04:0002-10-2014 05:0002-10-2014 06:0002-10-2014 10:0002-10-2014 22:0002-10-2014 23:0002-10-2015 00:0002-10-2015 01:0002-10-2015 02:0002-10-2015 03:0002-10-2015 04:0002-10-2015 05:0002-10-2015 06:0002-10-2015 22:0002-10-2015 23:0002-10-2016 00:0002-10-2016 01:0002-10-2016 02:0002-10-2016 03:0002-10-2016 04:0002-10-2016 05:0002-10-2016 06:0002-10-2016 07:0002-10-2016 22:0002-10-2016 23:0002-10-2017 00:0002-10-2017 01:0002-10-2017 02:0002-10-2017 03:0002-10-2017 04:0002-10-2017 05:0002-10-2017 06:0002-10-2017 07:0002-10-2017 22:0002-10-2017 23:0002-10-2018 00:0002-10-2018 01:0002-10-2018 02:0002-10-2018 03:0002-10-2018 04:0002-10-2018 05:0002-10-2018 06:0002-10-2018 07:0002-10-2018 21:0002-10-2018 22:0002-10-2018 23:0002-10-2019 00:0002-10-2019 01:0002-10-2019 02:0002-10-2019 03:0002-10-2019 04:0002-10-2019 05:0002-10-2019 06:0002-10-2019 07:0002-10-2019 21:0002-10-2019 22:0002-10-2019 23:00,2014201420142014201420142014201420142014201520152015201520152015201520152015201620162016201620162016201620162016201620172017201720172017201720172017201720172018201820182018201820182018201820182018201820192019201920192019201920192019201920192019,10101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010,476,MondayMondayMondayMondayMondayMondayMondayMondayMondayMondayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayTuesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayWednesdayFridayFridayFridayFridayFridayFridayFridayFridayFridayFridaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySaturdaySundaySundaySundaySundaySundaySundaySundaySundaySundaySundaySunday
2,0.033,02-10-2016 20:00,2016,10,20,Wednesday
2,0.5,02-10-2014 07:00,2014,10,7,Monday
2,1.0,02-10-2015 08:0002-10-2015 21:0002-10-2016 14:0002-10-2016 21:00,2015201520162016,10101010,64,TuesdayTuesdayWednesdayWednesday
2,1.1,02-10-2014 09:00,2014,10,9,Monday
2,1.34,02-10-2019 08:00,2019,10,8,Sunday
2,1.7,02-10-2017 12:00,2017,10,12,Friday
2,2.0,02-10-2015 09:0002-10-2015 10:0002-10-2017 08:0002-10-2017 09:0002-10-2017 16:0002-10-2017 19:0002-10-2017 21:0002-10-2018 08:0002-10-2018 18:0002-10-2019 09:0002-10-2019 11:00,20152015201720172017201720172018201820192019,1010101010101010101010,138,TuesdayTuesdayFridayFridayFridayFridayFridaySaturdaySaturdaySundaySunday
2,2.34,02-10-2015 12:0002-10-2017 14:0002-10-2019 18:00,201520172019,101010,44,TuesdayFridaySunday
2,2.67,02-10-2015 20:0002-10-2017 15:00,20152017,1010,35,TuesdayFriday
2,3.0,02-10-2014 11:0002-10-2015 07:0002-10-2015 11:0002-10-2016 08:0002-10-2016 12:0002-10-2017 13:00,201420152015201620162017,101010101010,62,MondayTuesdayTuesdayWednesdayWednesdayFriday
2,3.2,02-10-2019 17:00,2019,10,17,Sunday
2,3.25,02-10-2017 11:00,2017,10,11,Friday
2,3.34,02-10-2018 10:00,2018,10,10,Saturday
2,3.68,02-10-2016 10:00,2016,10,10,Wednesday
2,3.7800000000000002,02-10-2019 16:00,2019,10,16,Sunday
2,4.0,02-10-2016 13:0002-10-2017 17:00,20162017,1010,30,WednesdayFriday
2,4.1,02-10-2016 17:00,2016,10,17,Wednesday
2,4.33,02-10-2014 18:0002-10-2015 15:00,20142015,1010,33,MondayTuesday
2,4.34,02-10-2015 14:0002-10-2017 10:0002-10-2019 13:00,201520172019,101010,37,TuesdayFridaySunday
2,4.66,02-10-2015 16:00,2015,10,16,Tuesday
2,5.0,02-10-2014 08:0002-10-2014 14:0002-10-2014 21:0002-10-2015 13:0002-10-2016 18:0002-10-2017 20:00,201420142014201520162017,101010101010,94,MondayMondayMondayTuesdayWednesdayFriday
2,5.229,02-10-2019 12:00,2019,10,12,Sunday
2,6.0,02-10-2017 18:0002-10-2018 17:00,20172018,1010,35,FridaySaturday
2,6.2,02-10-2019 10:00,2019,10,10,Sunday
2,6.4,02-10-2018 15:00,2018,10,15,Saturday
2,6.5,02-10-2014 20:00,2014,10,20,Monday
2,6.84,02-10-2018 11:00,2018,10,11,Saturday
2,7.0,02-10-2014 12:0002-10-2016 15:0002-10-2018 12:00,201420162018,101010,39,MondayWednesdaySaturday
2,7.33,02-10-2015 19:00,2015,10,19,Tuesday
2,8.0,02-10-2018 14:0002-10-2018 19:00,20182018,1010,33,SaturdaySaturday
2,8.33,02-10-2019 15:00,2019,10,15,Sunday
2,8.34,02-10-2019 19:00,2019,10,19,Sunday
2,9.0,02-10-2014 16:00,2014,10,16,Monday
2,9.3,02-10-2014 17:00,2014,10,17,Monday
2,9.67,02-10-2019 14:00,2019,10,14,Sunday
2,10.0,02-10-2018 20:00,2018,10,20,Saturday
2,10.2,02-10-2016 19:00,2016,10,19,Wednesday
2,10.44,02-10-2019 20:00,2019,10,20,Sunday
2,11.0,02-10-2014 13:0002-10-2015 18:0002-10-2016 09:00,201420152016,101010,40,MondayTuesdayWednesday
2,11.4,02-10-2014 19:00,2014,10,19,Monday
2,12.0,02-10-2016 11:00,2016,10,11,Wednesday
2,12.799999999999999,02-10-2014 15:00,2014,10,15,Monday
2,14.0,02-10-2018 09:0002-10-2018 13:00,20182018,1010,22,SaturdaySaturday
2,15.561,02-10-2018 16:00,2018,10,16,Saturday
2,18.66,02-10-2015 17:00,2015,10,17,Tuesday
2,20.33,02-10-2016 16:00,2016,10,16,Wednesday
